trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes,start_date
21306065,Local365,4,2019-11-26 14:47:22+00:00,2547,21st/Guadalupe,3795,Dean Keeton/Whitis,5,2019-11-26
21306800,Local365,58,2019-11-26 17:03:34+00:00,3838,26th/Nueces,3795,Dean Keeton/Whitis,3,2019-11-26
21305245,U.T. Student Membership,895,2019-11-26 12:18:59+00:00,3841,23rd/Rio Grande,3797,21st/University,4,2019-11-26
21304605,Explorer,2204,2019-11-26 09:52:56+00:00,2494,2nd/Congress,3797,21st/University,18,2019-11-26
21304604,Explorer,014G,2019-11-26 09:52:52+00:00,2494,2nd/Congress,3797,21st/University,18,2019-11-26
21304898,Local365,113G,2019-11-26 11:08:34+00:00,3793,28th/Rio Grande,3797,21st/University,6,2019-11-26
21307250,U.T. Student Membership,115,2019-11-26 19:11:36+00:00,2548,Guadalupe/West Mall @ University Co-op,3797,21st/University,3,2019-11-26
21304211,U.T. Student Membership,113G,2019-11-26 07:45:16+00:00,3838,26th/Nueces,3797,21st/University,5,2019-11-26
21306181,U.T. Student Membership,460,2019-11-26 15:11:02+00:00,3841,23rd/Rio Grande,3798,21st/Speedway @ PCL,8,2019-11-26
21305397,U.T. Student Membership,057G,2019-11-26 12:49:07+00:00,3792,22nd/Pearl,3798,21st/Speedway @ PCL,6,2019-11-26
21306519,U.T. Student Membership,388,2019-11-26 16:10:46+00:00,3792,22nd/Pearl,3798,21st/Speedway @ PCL,4,2019-11-26
21305049,U.T. Student Membership,936,2019-11-26 11:46:08+00:00,3793,28th/Rio Grande,3798,21st/Speedway @ PCL,7,2019-11-26
21306454,Local365,088G,2019-11-26 16:00:06+00:00,3793,28th/Rio Grande,3798,21st/Speedway @ PCL,13,2019-11-26
21307232,Local365,057G,2019-11-26 19:06:38+00:00,3793,28th/Rio Grande,3798,21st/Speedway @ PCL,9,2019-11-26
21304467,Local365,400,2019-11-26 09:13:53+00:00,3794,Dean Keeton/Speedway ,3798,21st/Speedway @ PCL,4,2019-11-26
21307119,Local365,4,2019-11-26 18:23:07+00:00,3795,Dean Keeton/Whitis,3798,21st/Speedway @ PCL,4,2019-11-26
21307771,U.T. Student Membership,571,2019-11-26 23:15:30+00:00,2548,Guadalupe/West Mall @ University Co-op,3798,21st/Speedway @ PCL,6,2019-11-26
21304394,U.T. Student Membership,110,2019-11-26 08:51:55+00:00,3838,26th/Nueces,3798,21st/Speedway @ PCL,5,2019-11-26
21306704,U.T. Student Membership,078G,2019-11-26 16:43:35+00:00,3838,26th/Nueces,3798,21st/Speedway @ PCL,6,2019-11-26
